73,139,0
73,139,0
73,-21,0
73,-21,0
74,139,0
72,139,0
72,-21,0
74,-21,0
75,139,0
71,139,0
71,-21,0
75,-21,0
76,139,0
70,139,0
70,-21,0
76,-21,0
77,139,0
69,139,0
69,-21,0
77,-21,0
78,139,0
68,139,0
68,-21,0
78,-21,0
79,139,0
67,139,0
67,-21,0
79,-21,0
80,139,0
66,139,0
66,-21,0
80,-21,0
81,139,0
65,139,0
65,-21,0
81,-21,0
82,139,0
64,139,0
64,-21,0
82,-21,0
83,139,0
63,139,0
63,-21,0
83,-21,0
84,139,0
62,139,0
62,-21,0
84,-21,0
85,138,0
61,138,0
61,-20,0
85,-20,0
86,138,0
60,138,0
60,-20,0
86,-20,0
87,138,0
59,138,0
59,-20,0
87,-20,0
88,138,0
58,138,0
58,-20,0
88,-20,0
89,138,0
57,138,0
57,-20,0
89,-20,0
90,138,0
56,138,0
56,-20,0
90,-20,0
91,138,0
55,138,0
55,-20,0
91,-20,0
92,138,0
54,138,0
54,-20,0
92,-20,0
93,137,0
53,137,0
53,-19,0
93,-19,0
94,137,0
52,137,0
52,-19,0
94,-19,0
95,137,0
51,137,0
51,-19,0
95,-19,0
96,137,0
50,137,0
50,-19,0
96,-19,0
97,137,0
49,137,0
49,-19,0
97,-19,0
98,136,0
48,136,0
48,-18,0
98,-18,0
99,136,0
47,136,0
47,-18,0
99,-18,0
100,136,0
46,136,0
46,-18,0
100,-18,0
101,136,0
45,136,0
45,-18,0
101,-18,0
102,136,0
44,136,0
44,-18,0
102,-18,0
103,135,0
43,135,0
43,-17,0
103,-17,0
104,135,0
42,135,0
42,-17,0
104,-17,0
105,135,0
41,135,0
41,-17,0
105,-17,0
106,135,0
40,135,0
40,-17,0
106,-17,0
107,134,0
39,134,0
39,-16,0
107,-16,0
108,134,0
38,134,0
38,-16,0
108,-16,0
109,134,0
37,134,0
37,-16,0
109,-16,0
110,133,0
36,133,0
36,-15,0
110,-15,0
111,133,0
35,133,0
35,-15,0
111,-15,0
112,133,0
34,133,0
34,-15,0
112,-15,0
113,132,0
33,132,0
33,-14,0
113,-14,0
114,132,0
32,132,0
32,-14,0
114,-14,0
115,132,0
31,132,0
31,-14,0
115,-14,0
116,131,0
30,131,0
30,-13,0
116,-13,0
117,131,0
29,131,0
29,-13,0
117,-13,0
118,130,0
28,130,0
28,-12,0
118,-12,0
119,130,0
27,130,0
27,-12,0
119,-12,0
120,130,0
26,130,0
26,-12,0
